Line 422: level=1 (1 open, 0 close)
Line 425: level=2 (1 open, 0 close)
Line 426: level=3 (1 open, 0 close)
Line 454: level=4 (1 open, 0 close)
Line 459: level=3 (0 open, 1 close)
Line 482: level=4 (1 open, 0 close)
Line 483: level=5 (1 open, 0 close)
Line 489: level=4 (0 open, 1 close)
Line 490: level=5 (1 open, 0 close)
Line 497: level=4 (0 open, 1 close)
Line 498: level=3 (0 open, 1 close)
Line 501: level=4 (1 open, 0 close)
Line 510: level=3 (0 open, 1 close)
Line 527: level=2 (0 open, 1 close)
Line 530: level=3 (1 open, 0 close)
Line 531: level=4 (1 open, 0 close)
Line 533: level=3 (0 open, 1 close)
Line 534: level=4 (1 open, 0 close)
Line 539: level=3 (0 open, 1 close)
Line 540: level=2 (0 open, 1 close)
Line 544: level=3 (1 open, 0 close)
Line 546: level=4 (1 open, 0 close)
Line 547: level=5 (1 open, 0 close)
Line 554: level=6 (1 open, 0 close)
Line 555: level=7 (1 open, 0 close)
Line 561: level=6 (0 open, 1 close)
Line 562: level=7 (1 open, 0 close)
Line 566: level=8 (1 open, 0 close)
Line 571: level=7 (0 open, 1 close)
Line 572: level=6 (0 open, 1 close)
Line 573: level=5 (0 open, 1 close)
Line 574: level=4 (0 open, 1 close)
Line 575: level=5 (1 open, 0 close)
Line 588: level=4 (0 open, 1 close)
Line 589: level=3 (0 open, 1 close)
Line 592: level=4 (1 open, 0 close)
Line 593: level=5 (1 open, 0 close)
Line 594: level=6 (1 open, 0 close)
Line 595: level=7 (1 open, 0 close)
Line 596: level=8 (1 open, 0 close)
Line 598: level=7 (0 open, 1 close)
Line 599: level=8 (1 open, 0 close)
Line 606: level=7 (0 open, 1 close)
Line 607: level=6 (0 open, 1 close)
Line 608: level=7 (1 open, 0 close)
Line 612: level=6 (0 open, 1 close)
Line 613: level=5 (0 open, 1 close)
Line 615: level=6 (1 open, 0 close)
Line 655: level=7 (1 open, 0 close)
Line 662: level=6 (0 open, 1 close)
Line 665: level=7 (1 open, 0 close)
Line 667: level=6 (0 open, 1 close)
Line 670: level=7 (1 open, 0 close)
Line 675: level=6 (0 open, 1 close)
Line 687: level=5 (0 open, 1 close)
Line 689: level=6 (1 open, 0 close)
Line 690: level=7 (1 open, 0 close)
Line 692: level=6 (0 open, 1 close)
Line 693: level=7 (1 open, 0 close)
Line 701: level=6 (0 open, 1 close)
Line 702: level=5 (0 open, 1 close)
Line 703: level=4 (0 open, 1 close)
Line 704: level=3 (0 open, 1 close)
Line 705: level=2 (0 open, 1 close)
Line 711: level=3 (1 open, 0 close)
Line 736: level=4 (1 open, 0 close)
Line 763: level=3 (0 open, 1 close)
Line 766: level=2 (0 open, 1 close)
Line 768: level=3 (1 open, 0 close)
Line 769: level=4 (1 open, 0 close)
Line 770: level=5 (1 open, 0 close)
Line 772: level=6 (1 open, 0 close)
Line 774: level=7 (1 open, 0 close)
Line 776: level=8 (1 open, 0 close)
Line 778: level=9 (1 open, 0 close)
Line 779: level=10 (1 open, 0 close)
Line 785: level=9 (0 open, 1 close)
Line 786: level=10 (1 open, 0 close)
Line 790: level=11 (1 open, 0 close)
Line 794: level=10 (0 open, 1 close)
Line 795: level=9 (0 open, 1 close)
Line 796: level=8 (0 open, 1 close)
Line 799: level=9 (1 open, 0 close)
Line 800: level=10 (1 open, 0 close)
Line 801: level=11 (1 open, 0 close)
Line 815: level=10 (0 open, 1 close)
Line 816: level=11 (1 open, 0 close)
Line 830: level=10 (0 open, 1 close)
Line 831: level=9 (0 open, 1 close)
Line 833: level=10 (1 open, 0 close)
Line 846: level=9 (0 open, 1 close)
Line 848: level=10 (1 open, 0 close)
Line 862: level=9 (0 open, 1 close)
Line 864: level=10 (1 open, 0 close)
Line 879: level=9 (0 open, 1 close)
Line 880: level=8 (0 open, 1 close)
Line 881: level=7 (0 open, 1 close)
Line 882: level=6 (0 open, 1 close)
Line 884: level=5 (0 open, 1 close)
Line 885: level=4 (0 open, 1 close)
Line 888: level=5 (1 open, 0 close)
Line 889: level=6 (1 open, 0 close)
Line 890: level=7 (1 open, 0 close)
Line 894: level=6 (0 open, 1 close)
Line 895: level=7 (1 open, 0 close)
Line 908: level=6 (0 open, 1 close)
Line 909: level=5 (0 open, 1 close)
Line 910: level=4 (0 open, 1 close)
Line 925: level=5 (1 open, 0 close)
Line 944: level=4 (0 open, 1 close)
Line 947: level=5 (1 open, 0 close)
Line 949: level=6 (1 open, 0 close)
Line 950: level=7 (1 open, 0 close)
Line 966: level=6 (0 open, 1 close)
Line 969: level=7 (1 open, 0 close)
Line 984: level=6 (0 open, 1 close)
Line 985: level=5 (0 open, 1 close)
Line 988: level=6 (1 open, 0 close)
Line 989: level=7 (1 open, 0 close)
Line 1019: level=8 (1 open, 0 close)
Line 1057: level=7 (0 open, 1 close)
Line 1064: level=6 (0 open, 1 close)
Line 1065: level=5 (0 open, 1 close)
Line 1067: level=6 (1 open, 0 close)
Line 1068: level=7 (1 open, 0 close)
Line 1143: level=6 (0 open, 1 close)
Line 1144: level=5 (0 open, 1 close)
Line 1146: level=6 (1 open, 0 close)
Line 1147: level=7 (1 open, 0 close)
Line 1173: level=6 (0 open, 1 close)
Line 1174: level=5 (0 open, 1 close)
Line 1176: level=6 (1 open, 0 close)
Line 1182: level=5 (0 open, 1 close)
Line 1183: level=4 (0 open, 1 close)
Line 1185: level=3 (0 open, 1 close)
